title,category,rating,in_stock,price_gbp,price_inr
A Light in the Attic,Poetry,3,True,51.77,5461.74
Tipping the Velvet,Historical Fiction,1,True,53.74,5669.57
Soumission,Fiction,1,True,50.1,5285.55
Sharp Objects,Mystery,4,True,47.82,5045.01
Sapiens: A Brief History of Humankind,History,5,True,54.23,5721.26
The Requiem Red,Young Adult,1,True,22.65,2389.57
The Dirty Little Secrets of Getting Your Dream Job,Business,4,True,33.34,3517.37
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,True,17.93,1891.62
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,True,22.6,2384.3
The Black Maria,Poetry,1,True,52.15,5501.82
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,True,13.99,1475.94
Shakespeare's Sonnets,Poetry,4,True,20.66,2179.63
Set Me Free,Young Adult,5,True,17.46,1842.03
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,True,52.29,5516.6
Rip it Up and Start Again,Music,5,True,35.02,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,True,57.25,6039.88
Olio,Poetry,1,True,23.88,2519.34
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,True,37.59,3965.75
Libertarianism for Beginners,Politics,2,True,51.33,5415.32
It's Only the Himalayas,Travel,2,True,45.17,4765.44
In Her Wake,Thriller,1,True,12.84,1354.62
How Music Works,Music,2,True,37.32,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,True,30.52,3219.86
Chase Me (Paris Nights #2),Romance,5,True,25.27,2665.98
Black Dust,Romance,5,True,34.53,3642.92
Birdsong: A Story in Pictures,Childrens,3,True,54.64,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,True,22.5,2373.75
Aladdin and His Wonderful Lamp,Default,3,True,53.13,5605.22
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,True,40.3,4251.65
Wall and Piece,Art,4,True,44.18,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,True,17.66,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,True,31.05,3275.78
The Elephant Tree,Thriller,5,True,23.82,2513.01
The Bear and the Piano,Childrens,1,True,36.89,3891.9
Sophie's World,Philosophy,5,True,15.94,1681.67
Penny Maybe,Default,3,True,33.29,3512.1
Maude (1883-1993):She Grew Up with the country,Default,2,True,18.02,1901.11
"In a Dark, Dark Wood",Mystery,1,True,19.63,2070.96
Behind Closed Doors,Thriller,4,True,52.22,5509.21
You can't bury them all: Poems,Poetry,2,True,33.63,3547.96
Slow States of Collapse: Poems,Poetry,3,True,57.31,6046.2
Reasons to Stay Alive,Nonfiction,2,True,26.41,2786.26
Private Paris (Private #10),Fiction,5,True,47.61,5022.85
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,True,23.11,2438.1
Without Borders (Wanderlove #1),New Adult,2,True,45.07,4754.88
When We Collided,Contemporary,1,True,31.77,3351.74
"We Love You, Charlie Freeman",Fiction,5,True,50.27,5303.48
Untitled Collection: Sabbath Poems 2014,Poetry,4,True,14.27,1505.48
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,True,44.18,4660.99
Unicorn Tracks,Fantasy,3,True,18.78,1981.29
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,True,25.52,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,True,16.28,1717.54
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,True,31.12,3283.16
This One Summer,Sequential Art,4,True,19.49,2056.19
Thirst,Fiction,5,True,17.27,1821.98
The Torch Is Passed: A Harding Family Story,Add a comment,1,True,19.09,2014.0
The Secret of Dreadwillow Carse,Childrens,1,True,56.13,5921.72
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,True,56.41,5951.25
The Past Never Ends,Mystery,4,True,56.5,5960.75
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,True,45.22,4770.71
The Nameless City (The Nameless City #1),Sequential Art,4,True,38.16,4025.88
The Murder That Never Was (Forensic Instincts #5),Fiction,3,True,54.11,5708.6
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,True,42.96,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,True,23.89,2520.4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,True,16.77,1769.24
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,True,20.59,2172.24
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,True,37.13,3917.22
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,True,56.06,5914.33
The Death of Humanity: and the Case for Life,Philosophy,4,True,58.11,6130.6
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,3,True,49.05,5174.77
The Art Forger,Add a comment,3,True,40.76,4300.18
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,True,19.73,2081.52
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,True,32.24,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,True,41.83,4413.06
Soul Reader,Default,2,True,39.58,4175.69
Security,Horror,2,True,39.25,4140.88
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,True,25.02,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,True,51.04,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,True,19.83,2092.06
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,True,50.4,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,True,13.61,1435.86
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,True,13.34,1407.37
"Pop Gun War, Volume 1: Gift",Sequential Art,1,True,18.97,2001.33
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,True,36.28,3827.54
Patience,Sequential Art,3,True,10.16,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,True,15.44,1628.92
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,True,48.41,5107.25
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,1,True,46.35,4889.92
On a Midnight Clear,Add a comment,3,True,14.07,1484.38
