title,rating
Sapiens: A Brief History of Humankind,5
Set Me Free,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5
Rip it Up and Start Again,5
Chase Me (Paris Nights #2),5
Black Dust,5
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5
The Four Agreements: A Practical Guide to Personal Freedom,5
The Elephant Tree,5
Sophie's World,5
Private Paris (Private #10),5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5
"We Love You, Charlie Freeman",5
Thirst,5
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5
Princess Between Worlds (Wide-Awake Princess #5),5
Join,5
Sharp Objects,4
The Dirty Little Secrets of Getting Your Dream Job,4
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4
Shakespeare's Sonnets,4
Wall and Piece,4
Behind Closed Doors,4
Untitled Collection: Sabbath Poems 2014,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4
This One Summer,4
The Past Never Ends,4
The Nameless City (The Nameless City #1),4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4
The Death of Humanity: and the Case for Life,4
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4
In the Country We Love: My Family Divided,4
